mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name,brand,power_to_weight
28.0,4,90.0,75.0,2125,14.5,74,usa,dodge colt,dodge,0.03529411764705882
24.0,4,90.0,75.0,2108,15.5,74,europe,fiat 128,fiat,0.03557874762808349
26.0,4,116.0,75.0,2246,14.0,74,europe,fiat 124 tc,fiat,0.033392698130008905
24.0,4,120.0,97.0,2489,15.0,74,japan,honda civic,honda,0.038971474487746086
26.0,4,108.0,93.0,2391,15.5,74,japan,subaru,subaru,0.03889585947302384
31.0,4,79.0,67.0,2000,16.0,74,europe,fiat x1.9,fiat,0.0335
19.0,6,225.0,95.0,3264,16.0,75,usa,plymouth valiant custom,plymouth,0.029105392156862746
18.0,6,250.0,105.0,3459,16.0,75,usa,chevrolet nova,chevrolet,0.030355594102341718
15.0,6,250.0,72.0,3432,21.0,75,usa,mercury monarch,mercury,0.02097902097902098
15.0,6,250.0,72.0,3158,19.5,75,usa,ford maverick,ford,0.022799240025332488
16.0,8,400.0,170.0,4668,11.5,75,usa,pontiac catalina,pontiac,0.03641816623821765
15.0,8,350.0,145.0,4440,14.0,75,usa,chevrolet bel air,chevrolet,0.03265765765765766
16.0,8,318.0,150.0,4498,14.5,75,usa,plymouth grand fury,plymouth,0.03334815473543797
14.0,8,351.0,148.0,4657,13.5,75,usa,ford ltd,ford,0.031780115954477134
17.0,6,231.0,110.0,3907,21.0,75,usa,buick century,buick,0.028154594317890965
16.0,6,250.0,105.0,3897,18.5,75,usa,chevroelt chevelle malibu,chevrolet,0.026943802925327175
15.0,6,258.0,110.0,3730,19.0,75,usa,amc matador,amc,0.029490616621983913
18.0,6,225.0,95.0,3785,19.0,75,usa,plymouth fury,plymouth,0.02509907529722589
21.0,6,231.0,110.0,3039,15.0,75,usa,buick skyhawk,buick,0.0361961171437973
20.0,8,262.0,110.0,3221,13.5,75,usa,chevrolet monza 2+2,chevrolet,0.034150884818379384
13.0,8,302.0,129.0,3169,12.0,75,usa,ford mustang ii,ford,0.04070684758598927
29.0,4,97.0,75.0,2171,16.0,75,japan,toyota corolla,toyota,0.03454629203132197
23.0,4,140.0,83.0,2639,17.0,75,usa,ford pinto,ford,0.03145130731337628
20.0,6,232.0,100.0,2914,16.0,75,usa,amc gremlin,amc,0.03431708991077557
23.0,4,140.0,78.0,2592,18.5,75,usa,pontiac astro,pontiac,0.03009259259259259
24.0,4,134.0,96.0,2702,13.5,75,japan,toyota corona,toyota,0.03552923760177646
25.0,4,90.0,71.0,2223,16.5,75,europe,volkswagen dasher,volkswagen,0.031938821412505626
24.0,4,119.0,97.0,2545,17.0,75,japan,datsun 710,datsun,0.0381139489194499
18.0,6,171.0,97.0,2984,14.5,75,usa,ford pinto,ford,0.032506702412868634
29.0,4,90.0,70.0,1937,14.0,75,europe,volkswagen rabbit,volkswagen,0.036138358286009295
19.0,6,232.0,90.0,3211,17.0,75,usa,amc pacer,amc,0.02802865151043289
23.0,4,115.0,95.0,2694,15.0,75,europe,audi 100ls,audi,0.03526354862657758
23.0,4,120.0,88.0,2957,17.0,75,europe,peugeot 504,peugeot,0.029759891782211702
22.0,4,121.0,98.0,2945,14.5,75,europe,volvo 244dl,volvo,0.033276740237691005
25.0,4,121.0,115.0,2671,13.5,75,europe,saab 99le,saab,0.0430550355672033
33.0,4,91.0,53.0,1795,17.5,75,japan,honda civic cvcc,honda,0.029526462395543174
28.0,4,107.0,86.0,2464,15.5,76,europe,fiat 131,fiat,0.0349025974025974
25.0,4,116.0,81.0,2220,16.9,76,europe,opel 1900,opel,0.03648648648648649
25.0,4,140.0,92.0,2572,14.9,76,usa,capri ii,capri,0.03576982892690513
26.0,4,98.0,79.0,2255,17.7,76,usa,dodge colt,dodge,0.03503325942350333
27.0,4,101.0,83.0,2202,15.3,76,europe,renault 12tl,renault,0.037693006357856496
17.5,8,305.0,140.0,4215,13.0,76,usa,chevrolet chevelle malibu classic,chevrolet,0.033214709371293
16.0,8,318.0,150.0,4190,13.0,76,usa,dodge coronet brougham,dodge,0.03579952267303103
15.5,8,304.0,120.0,3962,13.9,76,usa,amc matador,amc,0.03028773346794548
14.5,8,351.0,152.0,4215,12.8,76,usa,ford gran torino,ford,0.03606168446026097
22.0,6,225.0,100.0,3233,15.4,76,usa,plymouth valiant,plymouth,0.03093102381688834
22.0,6,250.0,105.0,3353,14.5,76,usa,chevrolet nova,chevrolet,0.031315240083507306
24.0,6,200.0,81.0,3012,17.6,76,usa,ford maverick,ford,0.026892430278884463
22.5,6,232.0,90.0,3085,17.6,76,usa,amc hornet,amc,0.029173419773095625
29.0,4,85.0,52.0,2035,22.2,76,usa,chevrolet chevette,chevrolet,0.025552825552825554
24.5,4,98.0,60.0,2164,22.1,76,usa,chevrolet woody,chevrolet,0.027726432532347505
29.0,4,90.0,70.0,1937,14.2,76,europe,vw rabbit,volkswagen,0.036138358286009295
33.0,4,91.0,53.0,1795,17.4,76,japan,honda civic,honda,0.029526462395543174
20.0,6,225.0,100.0,3651,17.7,76,usa,dodge aspen se,dodge,0.027389756231169543
18.0,6,250.0,78.0,3574,21.0,76,usa,ford granada ghia,ford,0.02182428651371013
18.5,6,250.0,110.0,3645,16.2,76,usa,pontiac ventura sj,pontiac,0.03017832647462277
17.5,6,258.0,95.0,3193,17.8,76,usa,amc pacer d/l,amc,0.029752583777012214
29.5,4,97.0,71.0,1825,12.2,76,europe,volkswagen rabbit,volkswagen,0.03890410958904109
32.0,4,85.0,70.0,1990,17.0,76,japan,datsun b-210,datsun,0.035175879396984924
28.0,4,97.0,75.0,2155,16.4,76,japan,toyota corolla,toyota,0.03480278422273782
26.5,4,140.0,72.0,2565,13.6,76,usa,ford pinto,ford,0.028070175438596492
20.0,4,130.0,102.0,3150,15.7,76,europe,volvo 245,volvo,0.03238095238095238
13.0,8,318.0,150.0,3940,13.2,76,usa,plymouth volare premier v8,plymouth,0.03807106598984772
19.0,4,120.0,88.0,3270,21.9,76,europe,peugeot 504,peugeot,0.02691131498470948
19.0,6,156.0,108.0,2930,15.5,76,japan,toyota mark ii,toyota,0.03686006825938567
16.5,6,168.0,120.0,3820,16.7,76,europe,mercedes-benz 280s,mercedes-benz,0.031413612565445025
16.5,8,350.0,180.0,4380,12.1,76,usa,cadillac seville,cadillac,0.0410958904109589
13.0,8,350.0,145.0,4055,12.0,76,usa,chevy c10,chevrolet,0.035758323057953144
13.0,8,302.0,130.0,3870,15.0,76,usa,ford f108,ford,0.03359173126614987
13.0,8,318.0,150.0,3755,14.0,76,usa,dodge d100,dodge,0.03994673768308921
31.5,4,98.0,68.0,2045,18.5,77,japan,honda accord cvcc,honda,0.033251833740831294
30.0,4,111.0,80.0,2155,14.8,77,usa,buick opel isuzu deluxe,buick,0.037122969837587005
36.0,4,79.0,58.0,1825,18.6,77,europe,renault 5 gtl,renault,0.03178082191780822
25.5,4,122.0,96.0,2300,15.5,77,usa,plymouth arrow gs,plymouth,0.04173913043478261
33.5,4,85.0,70.0,1945,16.8,77,japan,datsun f-10 hatchback,datsun,0.03598971722365039
17.5,8,305.0,145.0,3880,12.5,77,usa,chevrolet caprice classic,chevrolet,0.037371134020618556
17.0,8,260.0,110.0,4060,19.0,77,usa,oldsmobile cutlass supreme,oldsmobile,0.027093596059113302
15.5,8,318.0,145.0,4140,13.7,77,usa,dodge monaco brougham,dodge,0.035024154589371984
15.0,8,302.0,130.0,4295,14.9,77,usa,mercury cougar brougham,mercury,0.030267753201396973
17.5,6,250.0,110.0,3520,16.4,77,usa,chevrolet concours,chevrolet,0.03125
20.5,6,231.0,105.0,3425,16.9,77,usa,buick skylark,buick,0.030656934306569343
19.0,6,225.0,100.0,3630,17.7,77,usa,plymouth volare custom,plymouth,0.027548209366391185
18.5,6,250.0,98.0,3525,19.0,77,usa,ford granada,ford,0.027801418439716313
16.0,8,400.0,180.0,4220,11.1,77,usa,pontiac grand prix lj,pontiac,0.04265402843601896
15.5,8,350.0,170.0,4165,11.4,77,usa,chevrolet monte carlo landau,chevrolet,0.04081632653061224
15.5,8,400.0,190.0,4325,12.2,77,usa,chrysler cordoba,chrysler,0.04393063583815029
16.0,8,351.0,149.0,4335,14.5,77,usa,ford thunderbird,ford,0.03437139561707036
29.0,4,97.0,78.0,1940,14.5,77,europe,volkswagen rabbit custom,volkswagen,0.04020618556701031
24.5,4,151.0,88.0,2740,16.0,77,usa,pontiac sunbird coupe,pontiac,0.032116788321167884
26.0,4,97.0,75.0,2265,18.2,77,japan,toyota corolla liftback,toyota,0.033112582781456956
25.5,4,140.0,89.0,2755,15.8,77,usa,ford mustang ii 2+2,ford,0.032304900181488204
30.5,4,98.0,63.0,2051,17.0,77,usa,chevrolet chevette,chevrolet,0.030716723549488054
33.5,4,98.0,83.0,2075,15.9,77,usa,dodge colt m/m,dodge,0.04
30.0,4,97.0,67.0,1985,16.4,77,japan,subaru dl,subaru,0.033753148614609575
30.5,4,97.0,78.0,2190,14.1,77,europe,volkswagen dasher,volkswagen,0.03561643835616438
22.0,6,146.0,97.0,2815,14.5,77,japan,datsun 810,datsun,0.034458259325044406
21.5,4,121.0,110.0,2600,12.8,77,europe,bmw 320i,bmw,0.04230769230769231
21.5,3,80.0,110.0,2720,13.5,77,japan,mazda rx-4,mazda,0.04044117647058824
43.1,4,90.0,48.0,1985,21.5,78,europe,volkswagen rabbit custom diesel,volkswagen,0.024181360201511334
36.1,4,98.0,66.0,1800,14.4,78,usa,ford fiesta,ford,0.03666666666666667
32.8,4,78.0,52.0,1985,19.4,78,japan,mazda glc deluxe,mazda,0.02619647355163728
39.4,4,85.0,70.0,2070,18.6,78,japan,datsun b210 gx,datsun,0.033816425120772944
36.1,4,91.0,60.0,1800,16.4,78,japan,honda civic cvcc,honda,0.03333333333333333
19.9,8,260.0,110.0,3365,15.5,78,usa,oldsmobile cutlass salon brougham,oldsmobile,0.03268945022288262
19.4,8,318.0,140.0,3735,13.2,78,usa,dodge diplomat,dodge,0.03748326639892905
20.2,8,302.0,139.0,3570,12.8,78,usa,mercury monarch ghia,mercury,0.03893557422969188
19.2,6,231.0,105.0,3535,19.2,78,usa,pontiac phoenix lj,pontiac,0.0297029702970297
20.5,6,200.0,95.0,3155,18.2,78,usa,chevrolet malibu,chevrolet,0.030110935023771792
20.2,6,200.0,85.0,2965,15.8,78,usa,ford fairmont (auto),ford,0.02866779089376054
25.1,4,140.0,88.0,2720,15.4,78,usa,ford fairmont (man),ford,0.03235294117647059
20.5,6,225.0,100.0,3430,17.2,78,usa,plymouth volare,plymouth,0.029154518950437316
19.4,6,232.0,90.0,3210,17.2,78,usa,amc concord,amc,0.028037383177570093
20.6,6,231.0,105.0,3380,15.8,78,usa,buick century special,buick,0.03106508875739645
20.8,6,200.0,85.0,3070,16.7,78,usa,mercury zephyr,mercury,0.02768729641693811
18.6,6,225.0,110.0,3620,18.7,78,usa,dodge aspen,dodge,0.03038674033149171
18.1,6,258.0,120.0,3410,15.1,78,usa,amc concord d/l,amc,0.03519061583577713
19.2,8,305.0,145.0,3425,13.2,78,usa,chevrolet monte carlo landau,chevrolet,0.042335766423357665
17.7,6,231.0,165.0,3445,13.4,78,usa,buick regal sport coupe (turbo),buick,0.047895500725689405
18.1,8,302.0,139.0,3205,11.2,78,usa,ford futura,ford,0.04336973478939157
17.5,8,318.0,140.0,4080,13.7,78,usa,dodge magnum xe,dodge,0.03431372549019608
30.0,4,98.0,68.0,2155,16.5,78,usa,chevrolet chevette,chevrolet,0.03155452436194896
27.5,4,134.0,95.0,2560,14.2,78,japan,toyota corona,toyota,0.037109375
27.2,4,119.0,97.0,2300,14.7,78,japan,datsun 510,datsun,0.04217391304347826
30.9,4,105.0,75.0,2230,14.5,78,usa,dodge omni,dodge,0.033632286995515695
21.1,4,134.0,95.0,2515,14.8,78,japan,toyota celica gt liftback,toyota,0.03777335984095427
23.2,4,156.0,105.0,2745,16.7,78,usa,plymouth sapporo,plymouth,0.03825136612021858
23.8,4,151.0,85.0,2855,17.6,78,usa,oldsmobile starfire sx,oldsmobile,0.0297723292469352
23.9,4,119.0,97.0,2405,14.9,78,japan,datsun 200-sx,datsun,0.040332640332640335
20.3,5,131.0,103.0,2830,15.9,78,europe,audi 5000,audi,0.036395759717314485
17.0,6,163.0,125.0,3140,13.6,78,europe,volvo 264gl,volvo,0.03980891719745223
21.6,4,121.0,115.0,2795,15.7,78,europe,saab 99gle,saab,0.04114490161001789
16.2,6,163.0,133.0,3410,15.8,78,europe,peugeot 604sl,peugeot,0.03900293255131965
31.5,4,89.0,71.0,1990,14.9,78,europe,volkswagen scirocco,volkswagen,0.035678391959798994
29.5,4,98.0,68.0,2135,16.6,78,japan,honda accord lx,honda,0.03185011709601874
21.5,6,231.0,115.0,3245,15.4,79,usa,pontiac lemans v6,pontiac,0.03543913713405239
19.8,6,200.0,85.0,2990,18.2,79,usa,mercury zephyr 6,mercury,0.028428093645484948
22.3,4,140.0,88.0,2890,17.3,79,usa,ford fairmont 4,ford,0.03044982698961938
20.2,6,232.0,90.0,3265,18.2,79,usa,amc concord dl 6,amc,0.027565084226646247
20.6,6,225.0,110.0,3360,16.6,79,usa,dodge aspen 6,dodge,0.03273809523809524
17.0,8,305.0,130.0,3840,15.4,79,usa,chevrolet caprice classic,chevrolet,0.033854166666666664
17.6,8,302.0,129.0,3725,13.4,79,usa,ford ltd landau,ford,0.03463087248322148
16.5,8,351.0,138.0,3955,13.2,79,usa,mercury grand marquis,mercury,0.03489254108723135
18.2,8,318.0,135.0,3830,15.2,79,usa,dodge st. regis,dodge,0.03524804177545692
16.9,8,350.0,155.0,4360,14.9,79,usa,buick estate wagon (sw),buick,0.03555045871559633
15.5,8,351.0,142.0,4054,14.3,79,usa,ford country squire (sw),ford,0.03502713369511593
19.2,8,267.0,125.0,3605,15.0,79,usa,chevrolet malibu classic (sw),chevrolet,0.03467406380027739
18.5,8,360.0,150.0,3940,13.0,79,usa,chrysler lebaron town @ country (sw),chrysler,0.03807106598984772
